,idt,name,category,description,city,country,latitude,longitude,year_founded,employees,total_money_raised,is_gaming,total_companies
1219,52cdef7d4bab8bd675299bd9,Xactly Corp,analytics,Incent Right.,Boston,USA,42.355077,-71.056928,2005,,$73.9M,0,26
1222,52cdef7d4bab8bd675299bdd,Hangout Industries,games_video,,Boston,USA,42.352835,-71.0609612,2005,,$12M,1,26
1243,52cdef7d4bab8bd675299d68,Heatwave Interactive,games_video,,Austin,USA,30.297775,-97.762921,2008,,$12.6M,1,36
1244,52cdef7d4bab8bd675299d6f,OneSpot,advertising,Content Advertising,Austin,USA,30.2686147,-97.7404872,2005,,$11.7M,0,36
1245,52cdef7d4bab8bd675299d74,CoreTrace,security,Computer & Network Security,Austin,USA,30.392018,-97.848345,2007,,$16.9M,0,36
1355,52cdef7e4bab8bd67529a315,One True Media,games_video,Online editing and sharing,Redwood City,USA,37.485824,-122.212095,2005,,$14M,1,23
1395,52cdef7e4bab8bd67529a5c0,OwnerIQ,advertising,Path-to-purchase media,Boston,USA,42.3472851,-71.0499948,2006,,$28.3M,0,26
1413,52cdef7e4bab8bd67529a6b6,cFares,search,Travel search engine,Redwood City,USA,37.5383063,-122.2523918,2005,,$13.6M,0,23
1510,52cdef7e4bab8bd67529a996,thoughtbot,consulting,Software Consulting Company,Boston,USA,42.356161,-71.061649,2003,62.0,$0,0,26
1626,52cdef7e4bab8bd67529ad35,UpSpring,web,Parent/child healthcare company,Austin,USA,30.396276,-97.732769,2005,,$2.6M,0,36
1658,52cdef7e4bab8bd67529ae36,NEXAGE,mobile,Mobile Ad RTB Exchange,Boston,USA,37.4777028,-121.9250553,2006,60.0,$19.5M,0,26
1670,52cdef7e4bab8bd67529ae93,Luminary Micro,semiconductor,ARM Cortex-M3-based microcontrollers,Austin,USA,30.306591,-97.826727,2004,,$44M,0,36
1671,52cdef7e4bab8bd67529ae9d,LucidWorks,analytics,Apache Lucene/Solr Technologies,Redwood City,USA,37.553121,-122.301534,2007,,$32M,0,23
1688,52cdef7e4bab8bd67529aef0,WordStream,advertising,PPC Management Software,Boston,USA,42.354257,-71.056605,2007,90.0,$16.3M,0,26
1724,52cdef7e4bab8bd67529b02a,7 Billion People,software,Web personalization service,Austin,USA,30.408322,-97.748077,2006,,$6.53M,0,36
1743,52cdef7e4bab8bd67529b10b,EyeBuyDirect,ecommerce,Prescription Eyewear,Austin,USA,38.9825332,-77.093279,2005,200.0,$0,0,36
1774,52cdef7e4bab8bd67529b2ac,UnboundID,software,Identity management software,Austin,USA,30.498112,-97.777273,2007,,$14.5M,0,36
1790,52cdef7e4bab8bd67529b355,Relypsa,biotech,,Redwood City,USA,37.5024749,-122.220408,2007,,$322M,0,23
1815,52cdef7e4bab8bd67529b48a,Tatto Media,advertising,Behavioral Ad Network,Boston,USA,42.3534915,-71.0564645,2005,80.0,$0,0,26
1818,52cdef7e4bab8bd67529b4ad,SCVNGR,games_video,"part game, part game platform",Boston,USA,42.3406534,-71.0680027,2008,60.0,$40.8M,1,26
1838,52cdef7e4bab8bd67529b5d3,qcue,software,Dynamic Pricing Solutions,Austin,USA,30.396989,-97.735768,2007,,$1.13M,0,36
1864,52cdef7e4bab8bd67529b6d9,Phurnace Software,software,Java EE configuration,Austin,USA,30.271393,-97.748623,2007,,$10M,0,36
1932,52cdef7e4bab8bd67529b99e,SeeWhy,analytics,Website Coversion Enhancing Software,Boston,USA,42.675142,-71.1472132,2003,,$16M,0,26
1956,52cdef7e4bab8bd67529babe,VKernel Corporation,software,virtualization management software,Boston,USA,42.3497366,-71.0491901,2007,,$7M,0,26
1957,52cdef7e4bab8bd67529bac7,Shareaholic,web,content sharing and discovery platform,Boston,USA,42.3647559,-71.1032591,2009,,$5.46M,0,26
1959,52cdef7e4bab8bd67529bace,Uplogix,enterprise,Remote management solution,Austin,USA,30.3752527,-97.7815663,2003,,$42.8M,0,36
1961,52cdef7e4bab8bd67529bad2,AllClear ID,security,Alert Network,Austin,USA,30.2708829,-97.7418001,2004,,$9.3M,0,36
1975,52cdef7e4bab8bd67529bb1a,First Coverage,software,Financial Services Software,Boston,USA,42.356931,-71.053991,2005,,$14M,0,26
1991,52cdef7e4bab8bd67529bb8a,Illumitex,hardware,LED Technology Innovator,Austin,USA,30.239294,-97.838813,2005,,$54.4M,0,36
2118,52cdef7f4bab8bd67529bece,uControl,software,"Home Security, Automation Platform",Austin,USA,30.3542873,-97.7976572,2006,,$3.9M,0,36
2160,52cdef7f4bab8bd67529c037,Versartis,biotech,Therapeutics Protein Developer,Redwood City,USA,37.523194,-122.259179,2008,,$89.5M,0,23
2169,52cdef7f4bab8bd67529c049,Virdia,cleantech,Cellulosic Biofuels Conversion,Redwood City,USA,37.523311,-122.259154,2007,,$111M,0,23
2195,52cdef7f4bab8bd67529c0fb,Buzzient,enterprise,Enterprise Social Media Analytics,Boston,USA,42.362856,-71.083762,2007,,$1.57M,0,26
2250,52cdef7f4bab8bd67529c27d,Nuventix,cleantech,Thermal management and cooling,Austin,USA,30.239229,-97.834211,2003,,$33.1M,0,36
2251,52cdef7f4bab8bd67529c280,Pearl Therapeutics,biotech,Respiratory Disease research,Redwood City,USA,37.502169,-122.217727,2006,,$232M,0,23
2277,52cdef7f4bab8bd67529c30b,Spiracur,medical,wound healing devices,Redwood City,USA,37.4298335,-122.004179,2007,,$55.3M,0,23
