,idt,name,category,description,city,country,latitude,longitude,year_founded,employees,total_money_raised
29,52cdef7c4bab8bd675297dc0,Livestream,games_video,Live streaming platform and website,New York,USA,40.726155,-73.995625,2007,120.0,$14.7M
30,52cdef7c4bab8bd675297dc1,Ustream,games_video,Live Social Video Community,San Francisco,USA,37.392936,-122.07948,2007,250.0,$60.1M
33,52cdef7c4bab8bd675297dc9,Jobster,search,job-focused vertical search engine,Seattle,USA,47.617682,-122.357242,2004,,$52.5M
34,52cdef7c4bab8bd675297dcb,Revision3,games_video,Web television network,San Francisco,USA,37.757758,-122.388243,2005,,$9M
35,52cdef7c4bab8bd675297dd0,Wize,ecommerce,eCommerce Product Reviews,Burlingame,USA,37.559287,-122.302262,2006,,$4.99M
36,52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,Cambridge,USA,42.375392,-71.118487,2005,,$32.2M
37,52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,San Francisco,USA,37.780134,-122.396744,2005,,$32.2M
38,52cdef7c4bab8bd675297dd7,SellABand,games_video,Fund raising for bands,46395 Bocholt,DEU,51.808933,6.553452,2006,,$5M
39,52cdef7c4bab8bd675297dd8,Funny Or Die,games_video,comedy video website,San Mateo,USA,37.421621,-122.137444,2007,,$18M
41,52cdef7c4bab8bd675297ddf,Zlio,ecommerce,,Paris,FRA,48.862825,2.381836,2005,,$4M
42,52cdef7c4bab8bd675297de0,Yelp,search,Local search and review site,San Francisco,USA,37.786183,-122.402195,2004,800.0,$90M
43,52cdef7c4bab8bd675297de4,Yapta,travel,Flight Price Tracking Service,Seattle,USA,47.599925,-122.334264,2007,,$24.3M
49,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,New York,USA,40.7516611,-73.9843328,2004,72.0,$32M
50,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,Venice,USA,33.991101,-118.468707,2004,72.0,$32M
51,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,San Francisco,USA,37.7891086,-122.4016144,2004,72.0,$32M
52,52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,London,GBR,51.5094731,-0.1356235,2004,72.0,$32M
53,52cdef7c4bab8bd675297df0,RockYou,games_video,Social Gaming Company,Redwood City,USA,37.484619,-122.206893,2005,106.0,$136M
54,52cdef7c4bab8bd675297df6,Slide,public_relations,Develops self-expression widgets,San Francisco,USA,37.781427,-122.392144,2005,64.0,$78M
55,52cdef7c4bab8bd675297dfb,WeFi,mobile,Wifi Network Dicovery Tool,Fairfax,USA,37.09024,-95.712891,2006,,$10M
56,52cdef7c4bab8bd675297dfe,FeedBurner,web,,Chicago,USA,41.889474,-87.628912,2004,,$8M
57,52cdef7c4bab8bd675297dff,TheFind,ecommerce,,Mountain View,USA,37.391502,-122.073463,2006,,$26M
58,52cdef7c4bab8bd675297e00,TVtrip,web,Video guide for hotels,Paris,FRA,48.856667,2.350987,2007,,$13.8M
59,52cdef7c4bab8bd675297e02,Dogster,web,,San Francisco,USA,37.762681,-122.400909,2004,,$1M
60,52cdef7c4bab8bd675297e04,Sway,advertising,,Middleton,USA,43.090756,-89.522805,2004,,$2M
61,52cdef7c4bab8bd675297e08,Loomia,web,Recomendation engine,San Francisco,USA,37.796396,-122.404869,2004,,$7.5M
62,52cdef7c4bab8bd675297e09,Meebo,web,Organizes the web around people.	,Mountain View,USA,37.393679,-122.079017,2005,200.0,$70M
67,52cdef7c4bab8bd675297e0a,Eventbrite,web,Online event management & ticketing,San Francisco,USA,37.779507,-122.39071,2006,200.0,$140M
68,52cdef7c4bab8bd675297e0c,LinkedIn,social,Professional Social Networking,Mountain View,USA,37.423258,-122.073635,2003,4800.0,$200M
69,52cdef7c4bab8bd675297e0d,FlickIM,mobile,chat programs,Berkeley,USA,37.870744,-122.269259,2006,,$1.6M
70,52cdef7c4bab8bd675297e10,Box,network_hosting,Cloud Content Management,Los Altos,USA,37.425801,-122.143701,2005,950.0,$409M
71,52cdef7c4bab8bd675297e14,Carbonite,network_hosting,,Boston,USA,42.350571,-71.076869,2006,68.0,$66M
72,52cdef7c4bab8bd675297e15,Conduit,advertising,Platform for branded apps,Foster City,USA,37.561877,-122.325248,2005,215.0,$110M
73,52cdef7c4bab8bd675297e17,Kaboodle,ecommerce,,Sunnyvale,USA,37.382162,-122.036301,2005,,$5M
74,52cdef7c4bab8bd675297e18,GigaOM,news,,San Francisco,USA,37.775196,-122.419204,2006,75.0,$14.3M
75,52cdef7c4bab8bd675297e18,GigaOM,news,,New York,USA,40.7143528,-74.0059731,2006,75.0,$14.3M
76,52cdef7c4bab8bd675297e19,Redfin,real_estate,Online Real Estate ,Seattle,USA,47.603122,-122.333253,2004,100.0,$96.8M
77,52cdef7c4bab8bd675297e1a,Wink,search,,Mountain View,USA,37.40047,-122.072981,2004,,$6.2M
78,52cdef7c4bab8bd675297e1c,coComment,web,,Geneva,CHE,46.20381,6.139959,2006,,$5.6M
79,52cdef7c4bab8bd675297e20,Zvents,web,Local events and entertainment guides,San Mateo,USA,37.553121,-122.301534,2005,55.0,$31.2M
80,52cdef7c4bab8bd675297e23,Eventful,web,Powers the online event ecosystem ,San Diego,USA,32.872081,-117.206292,2004,60.0,$19.6M
82,52cdef7c4bab8bd675297e25,Oodle,social,aggregator of classifieds ,San Mateo,USA,37.563585,-122.324621,2004,,$23.1M
83,52cdef7c4bab8bd675297e26,oDesk,web,Online workplace,Redwood City,USA,37.479952,-122.178557,2005,120.0,$44M
84,52cdef7c4bab8bd675297e27,Simply Hired,search,Job Search Engine and Recruiting Network,Sunnyvale,USA,37.4219165,-122.0780632,2004,100.0,$22.3M
85,52cdef7c4bab8bd675297e31,Flixster,web,Movie social networking,San Francisco,USA,37.766909,-122.406676,2006,75.0,$7.18M
86,52cdef7c4bab8bd675297e3c,Bazaarvoice,software,Word of mouth marketing,Austin,USA,30.407545,-97.717667,2005,600.0,$131M
87,52cdef7c4bab8bd675297e3d,IceRocket,search,,Dallas,USA,32.781078,-96.797111,2004,,$300k
88,52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,Pleasanton,USA,37.6637279,-121.8731805,2006,120.0,$55.6M
89,52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,Reston,USA,38.9590083,-77.3592746,2006,120.0,$55.6M
90,52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,London,GBR,51.5170385,-0.1394759,2006,120.0,$55.6M
91,52cdef7c4bab8bd675297e44,hi5,games_video,,San Francisco,USA,37.788668,-122.400558,2003,100.0,$52M
92,52cdef7c4bab8bd675297e46,Tagged,social,,San Francisco,USA,37.7753,-122.4186,2004,162.0,$28.7M
93,52cdef7c4bab8bd675297e4a,Indeed,web,Job Search Portal,Stamford,USA,41.038155,-73.558082,2004,,$5M
95,52cdef7c4bab8bd675297e53,Wallhogs,public_relations,,Greensburg,USA,40.30305,-79.462703,2006,52.0,$0
96,52cdef7c4bab8bd675297e55,Curse,games_video,Online games media company,San Francisco,USA,37.787092,-122.399972,2006,58.0,$12M
98,52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,Amsterdam,NLD,52.3640933,4.8919457,2003,90.0,€11.5M
99,52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,San Francisco,USA,37.787683,-122.410943,2003,90.0,€11.5M
100,52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,Singapore,SGP,51.500152,-0.126236,2003,90.0,€11.5M
101,52cdef7c4bab8bd675297e5b,PeerMe,games_video,,Mountain View,USA,37.419819,-122.090188,2004,,$5M
102,52cdef7c4bab8bd675297e63,Phonezoo,web,,Sunnyvale,USA,37.386376,-121.991471,2006,,$2.06M
103,52cdef7c4bab8bd675297e6b,PodTech,games_video,,Palo Alto,USA,37.408256,-122.154176,2005,,$7.5M
104,52cdef7c4bab8bd675297e6c,NowPublic,web,crowdsourcing news network,Vancouver,CAN,49.283376,-123.103986,2005,,$12M
105,52cdef7c4bab8bd675297e6e,Crackle,games_video,,Culver City,USA,34.017506,-118.401579,2004,,$1.75M
112,52cdef7c4bab8bd675297e76,Lotame,advertising,Data Management Platform,Columbia,USA,39.205649,-76.77514,2006,75.0,$34M
113,52cdef7c4bab8bd675297e76,Lotame,advertising,Data Management Platform,New York,USA,40.753631,-73.995487,2006,75.0,$34M
114,52cdef7c4bab8bd675297e76,Lotame,advertising,Data Management Platform,Cambridge,USA,42.359146,-71.056604,2006,75.0,$34M
118,52cdef7c4bab8bd675297e78,Rebtel,mobile,Talk More With Your Loved Ones,Nacka Strand,SWE,59.3167843,18.1582777,2006,75.0,$20M
120,52cdef7c4bab8bd675297e7c,Retrevo,web,Consumer Electronics Shopping Site,Sunnyvale,USA,37.368594,-122.034021,2006,,$11.9M
121,52cdef7c4bab8bd675297e81,Brightcove,enterprise,Online video platform,Cambridge,USA,42.362993,-71.086596,2004,220.0,$103M
128,52cdef7c4bab8bd675297e82,Hightail,network_hosting,securely share files & folders anywhere,Campbell,USA,37.288974,-121.935688,2004,200.0,$82.7M
129,52cdef7c4bab8bd675297e83,Nimbuzz,mobile,"Mobile messaging, VoIP and Social",Capelle a/d IJssel,NLD,51.9122575,4.5464658,2006,140.0,$25M
131,52cdef7c4bab8bd675297e84,Tangler,web,,Mountain View,USA,37.386665,-122.084171,2006,,$1.5M
132,52cdef7c4bab8bd675297e86,obopay,mobile,Mobile payment solutions,Redwood City,USA,37.524729,-122.258037,2005,,$145M
133,52cdef7c4bab8bd675297e8a,TalkPlus,web,,San Mateo,USA,37.553743,-122.300246,2004,,$5.5M
135,52cdef7c4bab8bd675297e90,PermissionTV,games_video,,Waltham,USA,42.417268,-71.258466,2005,,$9M
136,52cdef7c4bab8bd675297e92,Rocketboom,news,,New York,USA,40.797364,-73.97785,2007,,$1.5M
138,52cdef7c4bab8bd675297e9b,IMVU,web,Online 3D Community,Mountain View,USA,37.3927975,-122.0727749,2004,150.0,$29M
139,52cdef7c4bab8bd675297e9d,madKast,web,,Boulder,USA,40.010492,-105.276843,2007,,$315k
140,52cdef7c4bab8bd675297e9e,Nirvanix,enterprise,Enterprise Cloud Storage Company,San Diego,USA,32.877656,-117.210595,2007,,$70M
141,52cdef7c4bab8bd675297ea4,Webkinz,web,,Woodbridge,CAN,43.76969,-79.549577,2005,8657.0,$0
142,52cdef7c4bab8bd675297eac,Viagogo,ecommerce,Uppriced online event ticket marketplace,San Francisco,USA,51.500152,-0.126236,2005,,$65M
143,52cdef7c4bab8bd675297ead,KnockaTV,games_video,,,ISR,31.046051,34.851612,2007,,$4.5M
144,52cdef7c4bab8bd675297eb1,GreatCall,mobile,Mobile Virtual Network Operator,San Diego,USA,32.964294,-117.265191,2005,,$75.3M
145,52cdef7c4bab8bd675297eb7,Revver,games_video,User Generated Video Site,Los Angeles,USA,34.052187,-118.243425,2004,,$12.7M
146,52cdef7c4bab8bd675297eb9,Metacafe,games_video,Online Video Entertainment,San Francisco,USA,37.437328,-122.159928,2003,,$50M
147,52cdef7c4bab8bd675297ebb,ChaCha,advertising,Mobile and Online Answers Service,Carmel,USA,39.998641,-86.130347,2005,70.0,$89M
149,52cdef7c4bab8bd675297ebf,Kontera,advertising,In-Text Advertising,San Francisco,USA,37.767575,-122.411157,2003,,$36.1M
150,52cdef7c4bab8bd675297ec2,Dropbox,software,"Always have your stuff, wherever you are",San Francisco,USA,37.7909427,-122.4084994,2007,350.0,$257M
153,52cdef7c4bab8bd675297ecc,TokBox,messaging,Web video communications platform,San Francisco,USA,37.779507,-122.39071,2007,55.0,$26M
161,52cdef7c4bab8bd675297ed3,Weebly,web,Easiest Way to Create a Website,San Francisco,USA,37.795555,-122.400729,2006,70.0,$670k
162,52cdef7c4bab8bd675297ed4,Yola,web,Free Websites,San Francisco,USA,37.7911148,-122.3954751,2007,70.0,$25M
164,52cdef7c4bab8bd675297ed6,BitTorrent,web,Software and Internet Protocols,San Francisco,USA,37.790998,-122.394668,2004,80.0,$40.8M
165,52cdef7c4bab8bd675297eda,EventVue,public_relations,Social Networking for Conferences,Boulder,USA,40.010492,-105.276843,2007,,$455k
166,52cdef7c4bab8bd675297ee1,Cloudant,enterprise,NoSQL database managed service,Boston,USA,42.35892,-71.05781,2008,70.0,$18.3M
168,52cdef7c4bab8bd675297ee5,KIT digital,enterprise,video distribution solutions,New York,USA,40.751816,-73.971655,2008,200.0,$20M
172,52cdef7c4bab8bd675297ee5,KIT digital,enterprise,video distribution solutions,Stockholm,SWE,59.3369746,18.0580765,2008,200.0,$20M
176,52cdef7c4bab8bd675297ee5,KIT digital,enterprise,video distribution solutions,"Mississauga, Ontario",CAN,43.6587599,-79.5983626,2008,200.0,$20M
178,52cdef7c4bab8bd675297ee6,Kiva,finance,P2P Microfinance lending,San Francisco,USA,37.762125,-122.4147,2005,,$9M
180,52cdef7c4bab8bd675297eeb,Zopa,finance,P2P Lending,London,GBR,51.517904,-0.139947,2005,,$33.9M
181,52cdef7c4bab8bd675297ef1,BlueLithium,advertising,,San Jose,USA,37.32052,-121.948399,2004,135.0,$11.5M
182,52cdef7c4bab8bd675297ef5,MySpace,network_hosting,Social Network,Beverly Hills,USA,34.076061,-118.372953,2003,800.0,$0
183,52cdef7c4bab8bd675297f01,Vlingo,mobile,Voice enabled Virtual Assistant,Cambridge,USA,42.372912,-71.118999,2006,,$26.5M
184,52cdef7c4bab8bd675297f03,DotBlu,web,,San Francisco,USA,37.09024,-95.712891,2007,,$2.25M
186,52cdef7c4bab8bd675297f04,Covestor,finance,Investment Management Marketplace,London,GBR,51.5194201,-0.1433689,2005,,$23.9M
187,52cdef7c4bab8bd675297f05,Mevio,games_video,Independent Video Entertainment Network,San Francisco,USA,37.782263,-122.392142,2004,,$48.9M
188,52cdef7c4bab8bd675297f07,Shock Treatment Management,web,,Seattle,USA,47.610332,-122.339859,2004,,$4M
189,52cdef7c4bab8bd675297f08,NewsGator,enterprise,Social Business Software,Denver,USA,39.755092,-104.988123,2004,90.0,$39.3M
190,52cdef7c4bab8bd675297f09,Pluck,web,White-label Social Network,Austin,USA,30.268735,-97.745209,2003,,$17M
191,52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,Belmont,USA,37.524422,-122.265869,2007,,$78.6M
192,52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,Santa Monica,USA,34.017373,-118.453218,2007,,$78.6M
193,52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,Fort Lauderdale,USA,26.207024,-80.157296,2007,,$78.6M
195,52cdef7c4bab8bd675297f19,ReachLocal,advertising,,London,GBR,41.53155,-72.188584,2004,1700.0,$68.1M
196,52cdef7c4bab8bd675297f19,ReachLocal,advertising,,Toronto,CAN,43.7192415,-79.338246,2004,1700.0,$68.1M
200,52cdef7c4bab8bd675297f1a,Greystripe,advertising,Mobile advertising platform,San Francisco,USA,37.710677,-122.39323,2005,90.0,$17.6M
201,52cdef7c4bab8bd675297f1b,Trulia,search,residential real estate search engine,San Francisco,USA,37.766909,-122.406676,2004,500.0,$255M
202,52cdef7c4bab8bd675297f24,TubeMogul,advertising,Video Ad Buying Platform,Emeryville,USA,37.836957,-122.286493,2006,230.0,$53.2M
203,52cdef7c4bab8bd675297f2e,Multiply,ecommerce,,"Kebayoran Lama, Jakarta Selatan",IDN,26.400499,-80.097742,2003,,$26.6M
205,52cdef7c4bab8bd675297f35,LimeLife,news,Cross-platform digital media for women,Menlo Park,USA,37.48413,-122.169472,2004,,$20.9M
206,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Kansas City,USA,39.044694,-94.597896,2004,300.0,$248M
207,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,New York,USA,40.748901,-73.992463,2004,300.0,$248M
208,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,San Francisco,USA,37.78866,-122.401406,2004,300.0,$248M
209,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Fort Myers,USA,26.580095,-81.879069,2004,300.0,$248M
210,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Toronto,CAN,43.6474554,-79.3953743,2004,300.0,$248M
211,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,"Covent Garden, London",GBR,51.5114403,-0.1229212,2004,300.0,$248M
212,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Munich,DEU,48.1635092,11.5582609,2004,300.0,$248M
213,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Paris,FRA,48.8506065,2.3797825,2004,300.0,$248M
214,52cdef7c4bab8bd675297f3c,Adknowledge,advertising,,Shanghai,CHN,31.222622,121.4770384,2004,300.0,$248M
215,52cdef7c4bab8bd675297f43,Yap,messaging,cloud-based speech recognition,Fort Mill,USA,35.22806,-80.856178,2006,,$12M
216,52cdef7c4bab8bd675297f45,Tizra,enterprise,,Providence,USA,41.841713,-71.399771,2006,,$850k
217,52cdef7c4bab8bd675297f48,Minglebox,web,,Bangalore,IND,12.971606,77.594376,2006,,$7M
218,52cdef7c4bab8bd675297f4a,TestFreaks,ecommerce,Product Review Experts,Stockholm,SWE,59.3339908,18.0571198,2006,,$5.8M
219,52cdef7c4bab8bd675297f4c,Quattro Wireless,advertising,Mobile ad network,Waltham,USA,42.3729,-71.248472,2006,,$28.3M
221,52cdef7c4bab8bd675297f50,BBE,advertising,Digital media company,New York,USA,40.7445343,-73.9874008,2004,,$10M
222,52cdef7c4bab8bd675297f53,Thumbplay,music,"Music, Videos, Games for Mobile Devices",New York,USA,40.725435,-73.997395,2004,70.0,$41.5M
223,52cdef7c4bab8bd675297f5d,Wonga,web,Online Provider of Small Cash Advances,London,GBR,51.5192042,-0.1626103,2007,,$101M
224,52cdef7c4bab8bd675297f60,SnapTell,software,Image recognition based mobile marketing,Palo Alto,USA,37.433414,-122.128772,2006,,$4M
225,52cdef7c4bab8bd675297f69,Spiceworks,hardware,,Austin,USA,30.386601,-97.753739,2006,,$54M
226,52cdef7c4bab8bd675297f6a,MyHeritage,social,Family history network,Or Yehuda,ISR,32.029748,34.856173,2005,,$49M
227,52cdef7c4bab8bd675297f70,OnForce,enterprise,#1 Source for On-site Tech Talent,Lexington,USA,42.47218,-71.262508,2003,,$26.8M
228,52cdef7c4bab8bd675297f72,Ooyala,analytics,"Video streaming, analytics, monetization",Mountain View,USA,37.386665,-122.084171,2007,300.0,$122M
233,52cdef7c4bab8bd675297f81,hulu,games_video,Online Video Provider,Los Angeles,USA,34.031276,-118.456806,2007,153.0,$100M
234,52cdef7c4bab8bd675297f83,imeem,music,Social music service,San Francisco,USA,37.779624,-122.391236,2003,55.0,$24.8M
235,52cdef7c4bab8bd675297f84,AdMob,advertising,App developer monetization/promotion.,Mountain View,USA,37.563585,-122.324621,2006,,$46.8M
237,52cdef7c4bab8bd675297f9c,TripIt,travel,Organize Your Travel,San Francisco,USA,37.764169,-122.402021,2006,63.0,$13.1M
238,52cdef7c4bab8bd675297f9d,PubMatic,advertising,Sell-Side Platform,Redwood City,USA,37.446668,-122.156579,2006,380.0,$63M
242,52cdef7c4bab8bd675297fb7,Balihoo,advertising,Local Marketing Automation,Boise,USA,43.61295,-116.205637,2004,,$24.5M
243,52cdef7c4bab8bd675297fbb,Smartsheet,enterprise,Online project management,Bellevue,USA,47.617842,-122.20052,2005,,$32.4M
244,52cdef7c4bab8bd675297fbf,Avvo,legal,,Seattle,USA,47.6104101,-122.3396627,2007,,$23M
246,52cdef7c4bab8bd675297fc4,ChessPark,games_video,,West Palm Beach,USA,43.67084,-83.913153,2007,,$1M
247,52cdef7c4bab8bd675297fc5,MuseStorm,web,Widget creator / rich media ad platform,Sunnyvale,USA,37.368594,-122.034021,2005,,$1.5M
248,52cdef7c4bab8bd675297fc7,Clickable,advertising,Solution for online advertisers.,New York,USA,40.7413559,-73.9912208,2006,160.0,$32.5M
250,52cdef7c4bab8bd675297fc8,Eons,network_hosting,,Boston,USA,42.375219,-71.056101,2005,,$32M
251,52cdef7c4bab8bd675297fda,mig33,games_video,Social Entertainment Platform Company,Singapore,SGP,37.580304,-122.343679,2005,100.0,$32.4M
252,52cdef7c4bab8bd675297fdb,Animoto,music,Animated slide-show generator,New York,USA,40.72948,-74.000195,2006,60.0,$30M
255,52cdef7c4bab8bd675298000,Sermo,health,,Cambridge,USA,42.364367,-71.078978,2006,,$41M
256,52cdef7c4bab8bd67529800a,RingCentral,messaging,phone system integration ,San Mateo,USA,37.560155,-122.285588,2003,,$44M
257,52cdef7c4bab8bd67529800c,Zillow,real_estate,,Seattle,USA,47.6011125,-122.3293984,2005,600.0,$96.6M
258,52cdef7c4bab8bd67529800e,MatchMine,web,,Needham,USA,42.304545,-71.220187,2007,,$10M
259,52cdef7c4bab8bd675298012,Mobivox,mobile,VoIP Provider,Montreal,CAN,45.500277,-73.560084,2007,,$11M
260,52cdef7c4bab8bd675298013,3Jam,mobile,,San Francisco,USA,37.765125,-122.4044034,2005,,$4M
261,52cdef7c4bab8bd675298014,PlaySpan,games_video,P2P in-game commerce,Santa Clara,USA,37.396312,-121.961396,2006,,$46.3M
263,52cdef7c4bab8bd675298015,DocuSign,software,web-based electronic signature,Seattle,USA,47.603015,-122.335668,2003,,$116M
264,52cdef7c4bab8bd67529801e,Zimbra,enterprise,,Palo Alto,USA,37.557637,-122.285714,2003,200.0,$14.5M
265,52cdef7c4bab8bd675298021,FriendFeed,web,Social network aggregator,Mountain View,USA,37.39248,-122.072612,2007,,$5M
266,52cdef7c4bab8bd675298022,Wikinvest,web,,San Francisco,USA,37.775196,-122.419204,2006,,$2.5M
267,52cdef7c4bab8bd675298028,Gazelle,ecommerce,Consumer electronics trade-in site,Boston,USA,42.354022,-71.140762,2006,,$46.4M
268,52cdef7c4bab8bd67529802b,Fon,mobile,Your global WiFi network,Madrid,ESP,40.530724,-3.632687,2006,100.0,€44M
269,52cdef7c4bab8bd67529803c,RayV,games_video,TV over IP Network,New York,USA,40.781159,-73.978332,2005,,$16M
270,52cdef7c4bab8bd67529803d,Uptake,web,,Palo Alto,USA,37.443058,-122.161674,2008,,$16.8M
272,52cdef7c4bab8bd67529803f,Polyvore,web,Social Shopping Platform,Mountain View,USA,37.386175,-122.083487,2007,73.0,$22.1M
273,52cdef7c4bab8bd675298042,23andMe,biotech,human genome indexing/application,Mountain View,USA,37.09024,-95.712891,2006,80.0,$161M
274,52cdef7c4bab8bd675298043,YuMe,advertising,Video Advertising,Redwood City,USA,37.476479,-122.221717,2004,,$72.9M
275,52cdef7c4bab8bd675298047,Treemo Labs,mobile,,Seattle,USA,47.620716,-122.347533,2005,,$2.55M
276,52cdef7c4bab8bd67529804a,Blurb,ecommerce,Book development software,San Francisco,USA,37.792968,-122.40414,2005,150.0,$21.6M
277,52cdef7c4bab8bd67529804c,The Climate Corporation,cleantech,Tackling climate change through tech.,San Francisco,USA,37.782809,-122.394354,2006,150.0,$109M
278,52cdef7c4bab8bd67529804c,The Climate Corporation,cleantech,Tackling climate change through tech.,Seattle,USA,47.5984767,-122.3331466,2006,150.0,$109M
279,52cdef7c4bab8bd67529804d,Automattic,web,Develops publishing platforms,San Francisco,USA,37.744274,-122.421344,2005,200.0,$30.6M
280,52cdef7c4bab8bd675298051,Tumblr,web,,New York,USA,40.743808,-73.983626,2007,,$125M
281,52cdef7c4bab8bd675298057,uTest,software,In-the-wild software testing,Framingham,USA,42.288291,-71.52679,2007,120.0,$37.8M
283,52cdef7c4bab8bd67529805a,Payoneer,other,Global Payments Solutions,New York,USA,40.621591,-73.960717,2005,200.0,$14M
284,52cdef7c4bab8bd67529805b,Songkick,music,Concert Listings Site,London,GBR,51.54202,-0.0558343,2007,,$16.6M
287,52cdef7c4bab8bd67529805f,EchoSign,web,The Web's #1 Electronic Signature Servic,Palo Alto,USA,37.445326,-122.160671,2005,100.0,$8.5M
288,52cdef7c4bab8bd675298062,Buzzwire,mobile,,Denver,USA,39.755092,-104.988123,2007,,$12M
289,52cdef7c4bab8bd67529806d,TrialPay,advertising,Product and service barter marketplace,Mountain View,USA,37.388095,-122.08276,2006,100.0,$55.8M
290,52cdef7c4bab8bd675298073,Firetide,mobile,Wireless Broadband Networks,Campbell,USA,37.285133,-121.932962,2003,100.0,$39.8M
294,52cdef7c4bab8bd675298077,eXelate,advertising,smart data. smarter decisions.,New York,USA,40.741266,-73.990753,2007,,$32M
295,52cdef7c4bab8bd675298077,eXelate,advertising,smart data. smarter decisions.,San Francisco,USA,37.787249,-122.3990501,2007,,$32M
296,52cdef7c4bab8bd675298077,eXelate,advertising,smart data. smarter decisions.,Chicago,USA,41.8831959,-87.6517774,2007,,$32M
297,52cdef7c4bab8bd675298077,eXelate,advertising,smart data. smarter decisions.,Kfar-Saba,ISR,32.1618634,34.9341664,2007,,$32M
